Finance Year,Award Date,Fund,Programme Type,Recipient Org:Name,Title,Identifier,Amount Awarded,Scheme,Currency,Funding Org:Identifier,Funding Org:Name,Data source,Date modified
2014-2015,2015-03-31,Lottery,Annual Funding Programme,BelfastTrad (Traditional Music and Dance Society),Lottery grant to BelfastTrad (Traditional Music and Dance Society) (2014-2015),GB-ACNI-cfca6d7cfd67505236e0ca9d5abf1e86,19400,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Big Telly Theatre Company,Exchequer grant to Big Telly Theatre Company (2014-2015),GB-ACNI-28e061c2a1491cbc11cecc0a98400644,150350,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Blackstaff Press Limited,Lottery grant to Blackstaff Press Limited (2014-2015),GB-ACNI-24e9a6fff8e7d9c6f56a0bad9863898f,82200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Bruiser Theatre Company,Lottery grant to Bruiser Theatre Company (2014-2015),GB-ACNI-bdb1870b32812e1c77538df8cf05f4c3,106703,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Cahoots NI Ltd,Exchequer grant to Cahoots NI Ltd (2014-2015),GB-ACNI-62a90f24c945b7a56c038ad3d29802c5,121764,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Camerata Ireland,Lottery grant to Camerata Ireland (2014-2015),GB-ACNI-ddc9190e9477ebcb47bfcfa6adaf55c1,99425,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Catalyst Arts Ltd,Lottery grant to Catalyst Arts Ltd (2014-2015),GB-ACNI-f1388664b4f0fec1f67e90ae2df33237,40720,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Cathedral Quarter Arts Festival,Exchequer grant to Cathedral Quarter Arts Festival (2014-2015),GB-ACNI-ebd51d0e84e61cb0237e5ad059367f47,126100,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Centre for Contemporary Art Derry - Londonderry,Lottery grant to Centre for Contemporary Art Derry - Londonderry (2014-2015),GB-ACNI-010ba0eae01b3b5eb922f60a6e1fb712,112000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Comhaltas Ceoltoiri Eireann,Lottery grant to Comhaltas Ceoltoiri Eireann (2014-2015),GB-ACNI-108eae51e9f9ecd6df57d58918edc975,34000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Craft and Design Collective,Lottery grant to Craft and Design Collective (2014-2015),GB-ACNI-d695aadd293f1f6a3986d51f7ef2b6bc,44429,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Craft Northern Ireland,Exchequer grant to Craft Northern Ireland (2014-2015),GB-ACNI-56b276ff883db3a5a404a772c8227431,128494,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Creative Exchange,Exchequer grant to Creative Exchange (2014-2015),GB-ACNI-49463a75fbb8207c03f85d014e61ee8b,13300,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Crescent Arts Centre,Exchequer grant to Crescent Arts Centre (2014-2015),GB-ACNI-ed3b8df85aff9c5d5c3b26bc20259c03,226800,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Cultúrlann McAdam Ó Fiaich,Exchequer grant to Cultúrlann McAdam Ó Fiaich (2014-2015),GB-ACNI-cf24ba7e6f880ed89fba8858de70e565,172208,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Dance Resource Base (NI) Ltd,Lottery grant to Dance Resource Base (NI) Ltd (2014-2015),GB-ACNI-ba13517741a97f4cac81a051418ae5ff,39399,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Derry Theatre Trust,Exchequer grant to Derry Theatre Trust (2014-2015),GB-ACNI-de6cd1fd82d508fdcbd3e2052d8bd8ec,129004,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
