Finance Year,Award Date,Fund,Programme Type,Recipient Org:Name,Title,Identifier,Amount Awarded,Scheme,Currency,Funding Org:Identifier,Funding Org:Name,Data source,Date modified
2014-2015,2015-03-31,Exchequer,Creative Industries,Emain Publications,Exchequer grant to Emain Publications (2014-2015),GB-ACNI-1d13961485610ad2dd3ab02ab32b136b,8200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,eye4education,Exchequer grant to eye4education (2014-2015),GB-ACNI-b87f9584d36b0ffb17331d449570fa82,9500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Foxhaut Games,Exchequer grant to Foxhaut Games (2014-2015),GB-ACNI-0887e4909ab2cbde1c5c23e1b15f3d25,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Freshly Baked Games Ltd,Exchequer grant to Freshly Baked Games Ltd (2014-2015),GB-ACNI-9b0efce691d84032fffa3caf6714952d,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Garry McElherron / MourneQuest,Exchequer grant to Garry McElherron / MourneQuest (2014-2015),GB-ACNI-929cbeef069678cbc9f2609183fbf5e0,9800,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Grafik Digital Ltd,Exchequer grant to Grafik Digital Ltd (2014-2015),GB-ACNI-83270d39a397a265ddd096e816ab2c36,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Grainne Maher Millinery,Exchequer grant to Grainne Maher Millinery (2014-2015),GB-ACNI-c723ef318438c7335534de417df695fc,5950,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,HyperDuck SoundWorks,Exchequer grant to HyperDuck SoundWorks (2014-2015),GB-ACNI-37499adcef13ff2168171e99ea9a805b,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,In name of John Burke,Exchequer grant to In name of John Burke (2014-2015),GB-ACNI-96ce888dbaf9a145029f91fa1848b454,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Institute of Directors,Exchequer grant to Institute of Directors (2014-2015),GB-ACNI-417289775d912e7fb23efb3b892435ea,5000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Irony Metalworks Ltd.,Exchequer grant to Irony Metalworks Ltd. (2014-2015),GB-ACNI-c157e60c40cbf71abb7f93356e5482ac,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Italic Pig Ltd,Exchequer grant to Italic Pig Ltd (2014-2015),GB-ACNI-aa33fb44d3b53760a31287318a61bd38,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Jude Cassidy textiles,Exchequer grant to Jude Cassidy textiles (2014-2015),GB-ACNI-848c8eb76eca23ba9bfe626835d5d187,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Katie Brown Designs,Exchequer grant to Katie Brown Designs (2014-2015),GB-ACNI-aa2af391b8175d58323dc05d8faa8a2d,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Let's Expand Ltd,Exchequer grant to Let's Expand Ltd (2014-2015),GB-ACNI-5c1835f189276611c82d868ac9ad04f3,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Linen Hall Library,Exchequer grant to Linen Hall Library (2014-2015),GB-ACNI-80a0887834be4968b7dac4010a0e1b4d,9980,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Loughlion Design,Exchequer grant to Loughlion Design (2014-2015),GB-ACNI-1547b480bc74e81f908d0d8417dc45ba,9028,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Marie-Claire Ferguson Bespoke Millinery,Exchequer grant to Marie-Claire Ferguson Bespoke Millinery (2014-2015),GB-ACNI-f86d0efbf5e4d46072fe134658fd083f,9548,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Mary Callan Knitwear,Exchequer grant to Mary Callan Knitwear (2014-2015),GB-ACNI-d1d3ce0b8965ac709380e3591e99467f,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Meadow,Exchequer grant to Meadow (2014-2015),GB-ACNI-96ee81453cb1ddbfdfc39a1fb20b4b3f,9370,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Mourne Textiles Ltd,Exchequer grant to Mourne Textiles Ltd (2014-2015),GB-ACNI-282d3356a6c92aa173e916f521f74cb3,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,MR ANDREW COOKE,Exchequer grant to MR ANDREW COOKE (2014-2015),GB-ACNI-18bd60a91d51235b1424160362f67f35,9260,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,NISP Connect,Exchequer grant to NISP Connect (2014-2015),GB-ACNI-e5bf018f8dd0cc5cbe815e45e76506f9,7500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Northern Ireland Design Alliance,Exchequer grant to Northern Ireland Design Alliance (2014-2015),GB-ACNI-82cf4b1f4c5a87f9665b376c9ade8d90,9000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Northern Regional College,Exchequer grant to Northern Regional College (2014-2015),GB-ACNI-9e72c4fdbc857a75e679ec70b31e587d,3870,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Pandara's Box Ltd,Exchequer grant to Pandara's Box Ltd (2014-2015),GB-ACNI-a70b24f81760b5554b1f480122bbf602,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Parakite Ltd,Exchequer grant to Parakite Ltd (2014-2015),GB-ACNI-f4390f6970043fd5244d04dc58a901e2,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Priory Productions,Exchequer grant to Priory Productions (2014-2015),GB-ACNI-a0b56a99552aab5ad6ee4dce0bae5b49,7000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Royal Television Society NI,Exchequer grant to Royal Television Society NI (2014-2015),GB-ACNI-dfc1fef2c2d109f1361b2242ee4d3134,4400,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Sara O'Neill,Exchequer grant to Sara O'Neill (2014-2015),GB-ACNI-f5de44fe4a4ea5c05beb15ddf1860c3b,8500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Six Mile Hill Ltd,Exchequer grant to Six Mile Hill Ltd (2014-2015),GB-ACNI-5edb55efdaf824f2e4ca5f258bc500b2,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,SMALLTOWN AMERICA MUSIC LIMITED,Exchequer grant to SMALLTOWN AMERICA MUSIC LIMITED (2014-2015),GB-ACNI-a337f673945bf9860c91551111aa0e28,7750,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Specialisterne NI,Exchequer grant to Specialisterne NI (2014-2015),GB-ACNI-3897597eb8d1fd2e066466b4fc92b5bf,5980,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Stephen Farnan,Exchequer grant to Stephen Farnan (2014-2015),GB-ACNI-179bef5de9bb40fce55281db38453cb3,9000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Swip Technologies Ltd,Exchequer grant to Swip Technologies Ltd (2014-2015),GB-ACNI-0e2b94c45ae7c6e1e4bed7e2b53e7f1a,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,"Tanya Ireland, Contemporary Jewellery Design","Exchequer grant to Tanya Ireland, Contemporary Jewellery Design (2014-2015)",GB-ACNI-c1929d788746b6a6887bc0ead886212e,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,The Left Hand Cinema,Exchequer grant to The Left Hand Cinema (2014-2015),GB-ACNI-f729e174018629346b0c7853953d5aa2,8000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,The Muckraker,Exchequer grant to The Muckraker (2014-2015),GB-ACNI-b6784d89d0b039ba835fb1d77c9569a0,6500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,The Nerve Centre,Exchequer grant to The Nerve Centre (2014-2015),GB-ACNI-a78c7cfc9f529d676870ff6e03b8674c,20000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,Troll Inc Ltd,Exchequer grant to Troll Inc Ltd (2014-2015),GB-ACNI-1c0924740833476862f84c881854f006,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Creative Industries,University of Ulster,Exchequer grant to University of Ulster (2014-2015),GB-ACNI-31a85954638cd299521b565d4b81b8c7,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Accolade (All Communities Art Communications),Lottery grant to Accolade (All Communities Art Communications) (2014-2015),GB-ACNI-ad4c92913a63fa07cdce0da13c544503,6500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Ballymoney Community Resource Centre,Lottery grant to Ballymoney Community Resource Centre (2014-2015),GB-ACNI-6701ad67c4dcc6b0dcd7f909bddde1fa,2995,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Belfast Migrant Centre,Lottery grant to Belfast Migrant Centre (2014-2015),GB-ACNI-dd6c283a155c0d906b630090653f4a9e,3844,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Chidambaram/Belfast Women Drummers,Lottery grant to Chidambaram/Belfast Women Drummers (2014-2015),GB-ACNI-0b8f23cb3722cc3a49a4eed7436b5c92,5475,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Creggan Education & Research Services,Lottery grant to Creggan Education & Research Services (2014-2015),GB-ACNI-dbbe732746c2d3d09e39429e10a00220,4925,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Lagan Village Youth & Community Group,Lottery grant to Lagan Village Youth & Community Group (2014-2015),GB-ACNI-0f08a4d7fc859f32cb186ad0d361b104,4170,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Northern Ireland Council for Ethnic Minorities,Lottery grant to Northern Ireland Council for Ethnic Minorities (2014-2015),GB-ACNI-3c6bf11ee9f8a4a073af8ac1778562be,3615,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Obon on the Foyle Festival Group,Lottery grant to Obon on the Foyle Festival Group (2014-2015),GB-ACNI-cbc496c70af5fa7d3f2bcddeb17a0389,4860,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Omagh Ethnic Communities Support Group,Lottery grant to Omagh Ethnic Communities Support Group (2014-2015),GB-ACNI-feaafbf8735bf7eaca48b8a28b1eff01,7598,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Second Line (NI),Lottery grant to Second Line (NI) (2014-2015),GB-ACNI-54a3952a04aaf287879804a6ceb24092,3540,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,South Belfast Round Table,Lottery grant to South Belfast Round Table (2014-2015),GB-ACNI-abbda44db10ff24a06cf5ee3ef2e2628,7953,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,South Tyrone Empowerment Programme (S.T.E.P.),Lottery grant to South Tyrone Empowerment Programme (S.T.E.P.) (2014-2015),GB-ACNI-61c2dfa42af4db30afec949d68a2d128,9000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Intercultural Arts Programme,Westville Family Resource Centre,Lottery grant to Westville Family Resource Centre (2014-2015),GB-ACNI-153f8eb5be174ec90622f26a966e8b0d,2240,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Creative and Cultural Belfast,ArtsEkta,Lottery grant to ArtsEkta (2014-2015),GB-ACNI-797de597d5f5cdafaf4207b7c10615f7,95000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Creative and Cultural Belfast,Cultúrlann McAdam Ó Fiaich,Lottery grant to Cultúrlann McAdam Ó Fiaich (2014-2015),GB-ACNI-4ceb424154f5206330b71a4971fe24f0,300000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Creative and Cultural Belfast,Golden Thread Gallery,Lottery grant to Golden Thread Gallery (2014-2015),GB-ACNI-9e7983d9c8dc067f225b5ff61980ad23,50000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,174 Trust,Lottery grant to 174 Trust (2014-2015),GB-ACNI-a35a70ea3ef09bde441c519deb983c20,50000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Abridged,Lottery grant to Abridged (2014-2015),GB-ACNI-d9c9b429c262abecbecf285e1d67ff99,13500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Accidental Theatre Productions,Lottery grant to Accidental Theatre Productions (2014-2015),GB-ACNI-b6d7119e49b86a04d19722588d56cfe1,35000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Accolade (All Communities Art Communications),Lottery grant to Accolade (All Communities Art Communications) (2014-2015),GB-ACNI-ad4c92913a63fa07cdce0da13c544503,17730,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Ards Guitar Limited,Lottery grant to Ards Guitar Limited (2014-2015),GB-ACNI-e78a185835f1de71e7a96398e298de80,10000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Armagh Pipers Club,Lottery grant to Armagh Pipers Club (2014-2015),GB-ACNI-0d6dec8c2b293faada6247f26db99254,46500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Bbeyond,Lottery grant to Bbeyond (2014-2015),GB-ACNI-4bece7b311fe99e16c3819713a5cd985,20100,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,BEAM Creative Network,Lottery grant to BEAM Creative Network (2014-2015),GB-ACNI-16c76da65680524fc6fbce8e6def7f33,12475,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Belfast International Comedy Festival,Lottery grant to Belfast International Comedy Festival (2014-2015),GB-ACNI-e93c38629f84b674ea493a4321de23dd,6800,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Belfast Philharmonic Society,Lottery grant to Belfast Philharmonic Society (2014-2015),GB-ACNI-4e1302a1380a89c491c7801e42d52049,23280,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Belfast Photo Festival,Lottery grant to Belfast Photo Festival (2014-2015),GB-ACNI-c3eca25e7bf15bf6c0e4bccd62b8f148,30000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Beyond Skin,Lottery grant to Beyond Skin (2014-2015),GB-ACNI-46205cfe7cdb01297572873bec67fa07,32000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Booktrust Northern Ireland,Lottery grant to Booktrust Northern Ireland (2014-2015),GB-ACNI-a71e8b32c064325aedef9b675b1c3b91,15000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Brain Injury Matters,Lottery grant to Brain Injury Matters (2014-2015),GB-ACNI-01619eca2d16daf32663a5e93d2edf61,12125,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Brassneck Theatre Company,Lottery grant to Brassneck Theatre Company (2014-2015),GB-ACNI-4783d97592da8fa5c32cc7957fbf9f8c,27000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,C21 Theatre Company Ltd,Lottery grant to C21 Theatre Company Ltd (2014-2015),GB-ACNI-0c8470ff25795223eaa5bbb99d6ec7c5,29400,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Carntogher Community Association,Lottery grant to Carntogher Community Association (2014-2015),GB-ACNI-40d7d96d1c48eb0bcb35c20e6b06741e,45000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Cathedral Quarter Trust,Lottery grant to Cathedral Quarter Trust (2014-2015),GB-ACNI-ef2fb33c517e244079db1d281815c9b8,24250,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Children's Books Ireland / Leabhair Pháistí Eireann,Lottery grant to Children's Books Ireland / Leabhair Pháistí Eireann (2014-2015),GB-ACNI-70c715322e0f4b50fcd77d6463bc05fd,13100,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Community Circus Lisburn,Lottery grant to Community Circus Lisburn (2014-2015),GB-ACNI-5716ee834522380043cc0d890fc58130,14395,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,CRAIC (Community Recreational Arts in Coalisland),Lottery grant to CRAIC (Community Recreational Arts in Coalisland) (2014-2015),GB-ACNI-01f2346b5dbea4fe32ca6d3bae8fcff1,40000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Creative & Cultural Skills,Lottery grant to Creative & Cultural Skills (2014-2015),GB-ACNI-b5273cc7df67dcad5a825211aa7a5fa5,450000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Creggan Education & Research Services,Lottery grant to Creggan Education & Research Services (2014-2015),GB-ACNI-dbbe732746c2d3d09e39429e10a00220,38000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Dance Resource Base (NI) Ltd,Lottery grant to Dance Resource Base (NI) Ltd (2014-2015),GB-ACNI-ba13517741a97f4cac81a051418ae5ff,28280,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Dog Ears Ltd,Lottery grant to Dog Ears Ltd (2014-2015),GB-ACNI-168739c82a5b13d29c41ee91da9e8f9a,20370,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Donaghcloney Rural Needs Development Group,Lottery grant to Donaghcloney Rural Needs Development Group (2014-2015),GB-ACNI-e2b0406a1eb35fb152e3cb7bf6993fab,30000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,East Belfast Partnership,Lottery grant to East Belfast Partnership (2014-2015),GB-ACNI-78ba4b0bd6fb0b256e6e03884736fced,59500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Eden Place Arts Centre,Lottery grant to Eden Place Arts Centre (2014-2015),GB-ACNI-89e220589257ccb1bcbb9bc30b25c35e,29100,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Festival of Fools,Lottery grant to Festival of Fools (2014-2015),GB-ACNI-894ad4be89da6617c90e8dd80d5b545e,51895,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Lottery - Project Funding,Field Day Collective Ltd,Lottery grant to Field Day Collective Ltd (2014-2015),GB-ACNI-5ef06a57bc5551b0d0030eb37bb300db,23200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
