Ref No,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Decision quarter,Area,Beneficiary Location:Name,Description,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Data Source,Last modified
24799622,360G-ACE-24799622,Mat Fraser,Beauty and the Beast,"£76,454",24-Jul-13,GBP,Q2,London,Lambeth,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24954505,360G-ACE-24954505,Turning Point South West t/a Visual Arts South West,Strengthening the Visual Art Sector,"£74,935",26-Jul-13,GBP,Q2,South West,Stroud,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24794152,360G-ACE-24794152,Susan Davis,Double Booked tour (theatre),"£1,059",05-Aug-13,GBP,Q2,Midlands,Stratford-on-Avon,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798376,360G-ACE-24798376,Graham Keddie,One Hour,"£7,153",05-Aug-13,GBP,Q2,Midlands,Kettering,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798988,360G-ACE-24798988,Walsall Museum,Tat Man Tales,"£12,277",05-Aug-13,GBP,Q2,Midlands,Walsall,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24799145,360G-ACE-24799145,Ben Waddington,Still Walking,"£8,855",05-Aug-13,GBP,Q2,Midlands,Birmingham,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804288,360G-ACE-24804288,Miriam Keye,Quick Shifts Artist Development 2013-4,"£14,370",05-Aug-13,GBP,Q2,Midlands,Nottingham,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804345,360G-ACE-24804345,Timothy Wilson,Gallerycamp 2013,"£3,932",05-Aug-13,GBP,Q2,Midlands,Walsall,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815516,360G-ACE-24815516,Friends Of Whitchurch (Shropshire) Heritage,Sir Edward German Music Festival 2014,"£13,000",05-Aug-13,GBP,Q2,Midlands,Shropshire,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24831958,360G-ACE-24831958,Michelle Vacciana,Journey Cakes,"£8,940",05-Aug-13,GBP,Q2,Midlands,Nottingham,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24835726,360G-ACE-24835726,Derbyshire County Council,Tapton Lock Celebration,"£5,370",05-Aug-13,GBP,Q2,Midlands,Chesterfield,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24838461,360G-ACE-24838461,Derbyshire City & County Music Service,Buxton Festival Tutti Project,"£3,530",05-Aug-13,GBP,Q2,Midlands,Derbyshire Dales,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24786167,360G-ACE-24786167,PapaTango Theatre Company,Papatango New Writing Prize 2013,"£15,000",06-Aug-13,GBP,Q2,London,Hackney,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24786793,360G-ACE-24786793,Association of British Calypsonians Ltd,The ABC's World Music Stage,"£15,000",06-Aug-13,GBP,Q2,London,Kensington and Chelsea,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24793580,360G-ACE-24793580,Rosemary Butcher,Reclaiming the Past,"£15,000",06-Aug-13,GBP,Q2,London,Hammersmith and Fulham,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24793740,360G-ACE-24793740,Morag Keil,Creative Opportunities for Women and Children,"£5,000",06-Aug-13,GBP,Q2,London,Hackney,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798353,360G-ACE-24798353,Janine Francois,Re-Introducing Oshun (October 2013),"£5,084",06-Aug-13,GBP,Q2,London,Waltham Forest,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798797,360G-ACE-24798797,Les Petits Theatre Company,LES PETITS' CAPTAIN FLINN AND THE PIRATE DINOSAURS,"£13,614",06-Aug-13,GBP,Q2,London,Enfield,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24799242,360G-ACE-24799242,V22 Foundation,Young London 2013,"£15,000",06-Aug-13,GBP,Q2,London,Hackney,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24799563,360G-ACE-24799563,Legion TV,Legion TV (Grants for the Arts),"£9,913",06-Aug-13,GBP,Q2,London,Hackney,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24801951,360G-ACE-24801951,Brian Phillips,The Five Labours of Harvey Fish,"£9,848",06-Aug-13,GBP,Q2,London,Lewisham,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804474,360G-ACE-24804474,Nelly Ben Hayoun,Disaster Playground R&D Phase,"£10,000",06-Aug-13,GBP,Q2,London,Islington,Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24805855,360G-ACE-24805855,Hackney Music Development Trust,Trench Brothers,"£15,000",06-Aug-13,GBP,Q2,London,Enfield,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24807188,360G-ACE-24807188,Jamie Hadley,blood on the streets (stage one),"£5,690",06-Aug-13,GBP,Q2,London,Hackney,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24808907,360G-ACE-24808907,Derek Bond,Microcosm by Matt Hartley,"£12,466",06-Aug-13,GBP,Q2,London,Waltham Forest,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24811738,360G-ACE-24811738,Melissa Liyuwork Sheway Lust,The New Commandments,"£3,500",06-Aug-13,GBP,Q2,London,Hackney,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815832,360G-ACE-24815832,Alesandra Seutin,Ceci n'est pas Noire,"£3,669",06-Aug-13,GBP,Q2,London,Haringey,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24822569,360G-ACE-24822569,Michelle Houston,Practice and Research Residency at Nida Art Colony,"£4,770",06-Aug-13,GBP,Q2,London,Hackney,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24828537,360G-ACE-24828537,The Deaf and Hearing Ensemble,Roots (working title),"£14,033",06-Aug-13,GBP,Q2,London,Newham,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24831979,360G-ACE-24831979,Julia Bird,Jaybird Live Lit Organisation Development / R&D,"£11,500",06-Aug-13,GBP,Q2,London,Wandsworth,Literature,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24832098,360G-ACE-24832098,Patrizia Paolini,"Phantasmagoria - Development, future opportunities","£10,628",06-Aug-13,GBP,Q2,London,Hackney,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24835576,360G-ACE-24835576,Arun Ghosh,A Handful of Dust,"£9,750",06-Aug-13,GBP,Q2,London,Croydon,Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24839879,360G-ACE-24839879,The Writers Guild Of Great Britain,Stage Writing Development Project,"£11,910",06-Aug-13,GBP,Q2,London,Islington,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24839911,360G-ACE-24839911,Jasmin Reif,Londonzoo,"£13,284",06-Aug-13,GBP,Q2,London,Southwark,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24839964,360G-ACE-24839964,Ancient Mariner Productions Ltd,Collection of Collections,"£9,700",06-Aug-13,GBP,Q2,London,Lambeth,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24852622,360G-ACE-24852622,Lee Smikle,SYD Research & Development and Promotional Project,"£14,427",06-Aug-13,GBP,Q2,London,Southwark,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24852674,360G-ACE-24852674,Ann Roden,Doonreagan,"£11,400",06-Aug-13,GBP,Q2,London,Kensington and Chelsea,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24785957,360G-ACE-24785957,Sarah Stovell,Write my fourth novel,"£5,000",07-Aug-13,GBP,Q2,North,Northumberland,Literature,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24786108,360G-ACE-24786108,Andrea Ashworth,Mentoring,"£1,350",07-Aug-13,GBP,Q2,North,Harrogate,Literature,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24791511,360G-ACE-24791511,Working Title Artists Collective,Knit a Year in Halton,"£10,000",07-Aug-13,GBP,Q2,North,Cheshire West and Chester,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24794456,360G-ACE-24794456,Gerry Turvey,BodyStories 2 (reapplication,"£14,000",07-Aug-13,GBP,Q2,North,Leeds,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24796341,360G-ACE-24796341,Graham Roberts,Runs on the Board,"£8,500",07-Aug-13,GBP,Q2,North,Wakefield,Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24800261,360G-ACE-24800261,Steve Messam,Tangled R&D for the Forest of Bowland,"£9,000",07-Aug-13,GBP,Q2,North,Eden,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24807219,360G-ACE-24807219,House of Suarez,Organisational Development for House of Suarez,"£14,150",07-Aug-13,GBP,Q2,North,Liverpool,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24808832,360G-ACE-24808832,Scott Young,Weather to Fly,"£12,500",07-Aug-13,GBP,Q2,North,Darlington,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815758,360G-ACE-24815758,Carol Mavor,FULL: A Moving Image Portrait,"£9,122",07-Aug-13,GBP,Q2,North,Trafford,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24820791,360G-ACE-24820791,Abbey Walk Gallery,From the Wolds to the Sea - PLAT4rm Pilot,"£8,481",07-Aug-13,GBP,Q2,North,North East Lincolnshire,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24822106,360G-ACE-24822106,Nicki Hobday,Age Concerns,"£7,231",07-Aug-13,GBP,Q2,North,Manchester,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24822515,360G-ACE-24822515,Middle Child Theatre,Billy With His Boots On tour,"£13,048",07-Aug-13,GBP,Q2,North,"Kingston upon Hull, City of",Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24831498,360G-ACE-24831498,Isabel Lima,Double Dutch: a game,"£8,101",07-Aug-13,GBP,Q2,North,Newcastle upon Tyne,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24831932,360G-ACE-24831932,Tayo Aluko,The Paul Robeson Art As A Weapon Festival 2013,"£14,194",07-Aug-13,GBP,Q2,North,Liverpool,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24836339,360G-ACE-24836339,Peter Mountain,Deconstruction and Reconstruction of an Army Tank,"£11,500",07-Aug-13,GBP,Q2,North,Manchester,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24840261,360G-ACE-24840261,Carole Barley,I 0.,"£14,500",07-Aug-13,GBP,Q2,North,North Lincolnshire,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24840779,360G-ACE-24840779,David Barker,Theo Brown And The Folklore Of Dartmoor,"£4,165",07-Aug-13,GBP,Q2,North,Manchester,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24845807,360G-ACE-24845807,Wingbeats Cultural Association,Sailing to the Marvellous,"£14,000",07-Aug-13,GBP,Q2,North,Kirklees,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24852704,360G-ACE-24852704,Play Theatre Company,We Can Be Heroes,"£12,101",07-Aug-13,GBP,Q2,North,Leeds,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24785526,360G-ACE-24785526,Charmaine Hawthorne,The Seagull,"£5,500",08-Aug-13,GBP,Q2,South East,Thanet,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24785818,360G-ACE-24785818,Second Light Network Of Women Poets,HOMAGE TO SYLVIA,"£5,775",08-Aug-13,GBP,Q2,South East,Arun,Literature,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24791389,360G-ACE-24791389,Oxford City Council,Oxford Light Festival Artistic Commissioning Pilot,"£14,595",08-Aug-13,GBP,Q2,South East,Oxford,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24793386,360G-ACE-24793386,Gail Louw,"'Duwayne' - workshop, reading and production","£14,950",08-Aug-13,GBP,Q2,South East,Brighton and Hove,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24807253,360G-ACE-24807253,Semsem Kuherhi,Producer professional development,"£8,524",08-Aug-13,GBP,Q2,South East,Shepway,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24808805,360G-ACE-24808805,Developing Dreams Ltd,Break the Mould,"£13,960",08-Aug-13,GBP,Q2,South East,Brighton and Hove,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815351,360G-ACE-24815351,Root Experience,Development of The Game Project,"£15,000",08-Aug-13,GBP,Q2,South East,Brighton and Hove,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24818177,360G-ACE-24818177,Nabokov Ltd,BLINK 2013/2014,"£12,000",08-Aug-13,GBP,Q2,South East,Watford,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24822132,360G-ACE-24822132,Janine Fletcher,Practice of Everyday Things & Un Dancers R&D,"£8,000",08-Aug-13,GBP,Q2,South East,Brighton and Hove,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24832899,360G-ACE-24832899,Dancing Brick,Company Development 2013,"£11,320",08-Aug-13,GBP,Q2,South East,Milton Keynes,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24837328,360G-ACE-24837328,ARTDev,Afrikaba 2013,"£14,999",08-Aug-13,GBP,Q2,South East,Hastings,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24839723,360G-ACE-24839723,Undercurrent Arts,Undercurrent Schools' Programme Pilot,"£11,200",08-Aug-13,GBP,Q2,South East,Adur,Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24839780,360G-ACE-24839780,Workers of Art,Wise Words Festival,"£15,000",08-Aug-13,GBP,Q2,South East,Dover,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24845786,360G-ACE-24845786,Ben Harvey,Older Refugees Art Project,"£14,140",08-Aug-13,GBP,Q2,South East,Breckland,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798533,360G-ACE-24798533,Effervescent Social Alchemy,Fish-Hearted Bride: Tour R&D,"£14,088",08-Aug-13,GBP,Q2,South West,Cornwall,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24799482,360G-ACE-24799482,Katie Storer,Beyond the Walls,"£7,033",08-Aug-13,GBP,Q2,South West,"Bristol, City of",Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804236,360G-ACE-24804236,James Aitchison,Portraits for a Study,"£7,624",08-Aug-13,GBP,Q2,South West,Cornwall,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24808778,360G-ACE-24808778,Oliver Flexman,DARTMOOR INSPIRED Pilot programme,"£8,850",08-Aug-13,GBP,Q2,South West,"Bristol, City of",Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24811810,360G-ACE-24811810,Tessa Bide,Development of The Tap Dancing Mermaid,"£7,347",08-Aug-13,GBP,Q2,South West,"Bristol, City of",Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815789,360G-ACE-24815789,Marc Yeats,The shape Distance (1-7),"£1,270",08-Aug-13,GBP,Q2,South West,South Somerset,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24820649,360G-ACE-24820649,Kenna Hernly,"'FieldMachine': artwork development, and workshops","£7,816",08-Aug-13,GBP,Q2,South West,Cornwall,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24830722,360G-ACE-24830722,Sanjida O'Connell,Redraft my fifth novel to secure a book deal,"£15,000",08-Aug-13,GBP,Q2,South West,"Bristol, City of",Literature,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24840857,360G-ACE-24840857,Gonzo Moose Theatre Company,"I'm An Aristocrat, Get Me Out Of Here!","£14,988",08-Aug-13,GBP,Q2,South West,"Bristol, City of",Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24860178,360G-ACE-24860178,Anand Bhatt,Personal Development - Producer,"£15,000",12-Aug-13,GBP,Q2,Midlands,Oadby and Wigston,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24861513,360G-ACE-24861513,Pauhana Limited,iDream,"£15,000",12-Aug-13,GBP,Q2,Midlands,Leicester,Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24872809,360G-ACE-24872809,Tom Dale Company,"New Work , New Audiences a R&D project","£15,000",12-Aug-13,GBP,Q2,Midlands,Nottingham,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24876780,360G-ACE-24876780,Seckou Keita,The Path of Gabou,"£12,528",12-Aug-13,GBP,Q2,Midlands,Nottingham,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24877098,360G-ACE-24877098,Rosanna McGlone,Rehearsed readings for 'Marcela' at Old Vic's LAB,"£4,069",12-Aug-13,GBP,Q2,Midlands,Lincoln,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24880378,360G-ACE-24880378,Fi Burke,Since Sliced Bread,"£14,973",12-Aug-13,GBP,Q2,Midlands,Broxtowe,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24888078,360G-ACE-24888078,First Floor Theatre,Our Front Room,"£7,330",12-Aug-13,GBP,Q2,Midlands,Nottingham,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24938690,360G-ACE-24938690,Jasmine Orchard,Career and development training in circus theatre,"£5,840",12-Aug-13,GBP,Q2,Midlands,Dudley,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24979477,360G-ACE-24979477,Mark Osborne,This Is Then,"£9,975",12-Aug-13,GBP,Q2,Midlands,North Warwickshire,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24854643,360G-ACE-24854643,Rushmoor Concert Band,Remembrance Concert,"£2,747",13-Aug-13,GBP,Q2,South West,Rushmoor,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24856549,360G-ACE-24856549,Bristol Kitchen Radio,BKR Bristol Kitchen Party (provisional title),"£3,050",13-Aug-13,GBP,Q2,South West,"Bristol, City of",Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24870699,360G-ACE-24870699,Cartoon De Salvo,Cyrano - development,"£15,000",13-Aug-13,GBP,Q2,South West,Rushmoor,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24889527,360G-ACE-24889527,Fin Irwin,Public Transport Appreciation Society,"£2,420",13-Aug-13,GBP,Q2,South West,Cornwall,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24976373,360G-ACE-24976373,Mark Chappell,Cabaret Abattoir,"£2,415",13-Aug-13,GBP,Q2,South West,"Bristol, City of",Combined arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
